df,sum_sq,mean_sq,F,PR(>F)
2.0,369920351.0434424,184960175.5217212,7942.363082796504,0.0
2.0,139698493.36017394,69849246.68008697,2999.392040087671,0.0
4.0,190811643.05081084,47702910.76270271,2048.407644050555,0.0
1258751.0,29313543522.38536,23287.801576630613,,
