,precision,recall,f1-score,support
fast_time,0.9999842072015162,0.999952623100976,0.9999684149018493,63322.0
low_time,0.9999839671647535,1.0,0.9999919835181132,62371.0
mean_time,0.9999762018086625,0.999984134413251,0.9999801680952248,126059.0
accuracy,0.9999801391845944,0.9999801391845944,0.9999801391845944,0.9999801391845944
macro avg,0.9999814587249775,0.9999789191714091,0.9999801888383958,251752.0
weighted avg,0.9999801392173466,0.9999801391845944,0.9999801391144424,251752.0
