group1,group2,meandiff,p-adj,lower,upper,reject
high_cost,low_cost,47.5005,0.0,46.6121,48.3888,True
high_cost,median,26.0425,0.0,25.2313,26.8537,True
low_cost,median,-21.458,0.0,-22.2107,-20.7053,True
